"","HenID","Status","Age","Fate","CaptureDate","LastHeardDate","FateDate"
"338","H722","censored","juvenile",1,2017-03-28,2019-08-22,"2019-08-22"
"339","H723","mortality","adult",5,2017-03-29,2017-03-29,"2017-05-18"
"340","H724","mortality","adult",10,2017-03-29,2018-08-13,"2018-09-26"
"341","H725","mortality","adult",5,2017-03-28,2020-07-18,"2020-08-24"
"342","H726","mortality","adult",10,2017-03-29,2018-07-25,"2018-07-28"
"343","H727","mortality","adult",10,2017-03-30,2018-08-01,"2018-09-26"
"344","H728","mortality","adult",4,2017-03-30,2017-06-21,"2017-09-26"
"345","H729","mortality","juvenile",4,2017-03-29,2019-07-29,"2019-08-02"
"346","H73","mortality","adult",10,2011-04-10,2012-02-02,"2012-03-28"
"347","H730","mortality","adult",10,2017-03-29,2018-08-07,"2018-09-26"
"348","H731","censored","adult",2,2017-03-29,2021-03-25,"2021-03-25"
"349","H732","censored","juvenile",1,2017-03-29,2019-10-29,"2019-10-29"
"350","H733","mortality","adult",4,2017-03-29,2017-04-21,"2017-05-05"
"351","H734","mortality","adult",3,2017-03-29,2018-08-01,"2018-09-26"
"352","H735","mortality","adult",10,2017-03-30,2017-08-10,"2017-09-26"
"353","H736","mortality","adult",4,2017-03-31,2018-05-16,"2018-07-03"
"354","H737","mortality","adult",10,2017-03-31,2018-06-24,"2018-06-30"
"355","H738","mortality","adult",10,2017-03-31,2018-06-28,"2018-07-02"
"356","H739","mortality","adult",10,2017-04-01,2017-11-13,"2018-01-05"
"357","H74","mortality","juvenile",9,2011-04-05,2013-05-03,"2013-06-02"
"358","H740","mortality","adult",10,2017-04-01,2018-08-09,"2018-09-20"
"359","H741","mortality","adult",10,2017-03-31,2018-06-11,"2018-06-30"
"360","H742","mortality","juvenile",4,2017-08-07,2017-08-07,"2017-09-26"
"361","H743","mortality","juvenile",4,2017-08-09,2017-09-26,"2017-11-13"
"362","H744","mortality","juvenile",4,2017-08-09,2018-05-01,"2018-05-05"
"363","H745","mortality","juvenile",3,2017-08-14,2017-08-14,"2017-09-26"
"364","H746","mortality","juvenile",10,2017-08-15,2017-08-15,"2017-09-26"
"365","H747","mortality","juvenile",10,2017-08-16,2017-11-13,"2018-01-05"
"366","H748","mortality","juvenile",10,2017-08-24,2018-08-01,"2018-09-26"
"367","H76","mortality","adult",3,2011-04-11,2012-07-05,"2012-07-09"
"368","H77","mortality","adult",10,2011-04-11,2011-05-19,"2011-06-08"
"369","H78","mortality","juvenile",10,2011-04-12,2011-09-16,"2011-11-09"
"370","H79","mortality","juvenile",10,2011-04-12,2014-08-20,"2014-09-29"
"371","H8","mortality","adult",3,2011-04-12,2014-10-18,"2014-12-04"
"372","H80","mortality","adult",3,2011-04-12,2012-11-14,"2013-01-14"
"373","H800","censored","adult",1,2018-03-26,2020-07-18,"2020-07-18"
"374","H801","mortality","adult",5,2018-03-27,2020-10-23,"2020-11-24"
"375","H802","mortality","adult",3,2018-03-26,2018-09-26,"2018-10-31"
"376","H803","mortality","adult",10,2018-03-27,2018-05-01,"2018-06-02"
"377","H804","mortality","adult",10,2018-03-27,2020-04-29,"2020-05-28"
"378","H805","mortality","juvenile",10,2018-03-27,2018-10-31,"2018-11-30"
"379","H806","mortality","juvenile",10,2018-03-27,2018-03-27,"2018-05-16"
"380","H807","censored","juvenile",1,2018-03-27,2020-08-24,"2020-08-24"
"381","H808","censored","adult",1,2018-03-27,2020-07-18,"2020-07-18"
"382","H809","mortality","juvenile",4,2018-03-27,2018-08-01,"2018-09-26"
"383","H81","mortality","adult",4,2011-04-12,2011-05-01,"2011-06-23"
"384","H810","mortality","adult",10,2018-03-27,2019-01-09,"2019-03-21"
"385","H811","censored","adult",1,2018-03-28,2020-01-09,"2020-01-09"
"386","H812","mortality","adult",5,2018-03-28,2018-07-03,"2018-07-05"
"387","H813","mortality","juvenile",3,2018-03-28,2020-01-09,"2020-02-19"
"388","H814","mortality","juvenile",10,2018-03-29,2019-04-19,"2019-04-22"
"389","H815","censored","adult",1,2018-03-30,2020-01-09,"2020-01-09"
